State,EV_Station_2016,EV_Station_2017,EV_Station_2018,EV_Station_2019,EV_Station_2020,EV_Station_2021,EV_Station_2022,EV_Station_2023
Alabama,113,145,165,195,224,277,327,424
Alaska,3,7,7,19,37,52,61,65
Arizona,424,432,480,522,573,890,984,"1,198"
Arkansas,63,62,70,98,112,164,218,334
California,"4,184","4,683","5,480","6,439","7,689","14,607","14,609","16,381"
Colorado,445,567,707,861,"1,066","1,619","1,787","2,165"
Connecticut,341,358,383,422,456,533,598,865
Delaware,30,41,50,57,70,134,156,197
District of Columbia,102,97,124,172,189,291,301,369
Florida,965,"1,134","1,265","1,562","1,836","2,636","2,923","3,430"
Georgia,591,698,772,882,"1,008","1,585","1,552","1,886"
Hawaii,249,275,278,296,320,386,405,384
Idaho,60,77,87,95,113,139,155,205
Illinois,524,543,579,663,805,"1,079","1,342","1,337"
Indiana,196,198,225,239,282,357,404,565
Iowa,109,117,129,141,188,281,305,371
Kansas,197,194,198,234,246,493,489,547
Kentucky,82,95,114,133,168,225,256,328
Louisiana,79,88,102,107,141,159,193,265
Maine,111,129,151,184,220,301,412,486
Maryland,499,563,665,738,884,"1,257","1,384","1,726"
Massachusetts,507,586,649,811,"1,038","2,176","2,406","2,965"
Michigan,534,554,606,616,567,817,"1,149","1,447"
Minnesota,286,294,318,380,445,586,601,773
Mississippi,41,57,58,81,104,112,114,163
Missouri,295,377,409,452,508,"1,047","1,029","1,240"
Montana,36,33,43,55,65,75,98,126
Nebraska,58,64,78,95,115,182,214,260
Nevada,173,229,226,284,299,451,478,596
New Hampshire,98,100,126,121,131,164,201,261
New Jersey,244,265,309,457,553,749,938,"1,299"
New Mexico,58,61,70,82,120,189,211,278
New York,862,954,"1,157","1,655","2,036","2,983","3,326","3,898"
North Carolina,453,595,666,732,813,"1,120","1,166","1,595"
North Dakota,7,10,20,28,42,61,80,98
Ohio,278,378,441,544,656,957,"1,247","1,586"
Oklahoma,54,60,65,131,263,313,340,358
Oregon,542,564,669,722,745,994,"1,009","1,263"
Pennsylvania,352,388,453,572,757,"1,148","1,326","1,712"
Rhode Island,80,85,89,113,148,255,297,317
South Carolina,200,243,270,286,309,385,413,559
South Dakota,23,26,33,41,45,58,69,98
Tennessee,428,450,458,453,494,685,695,918
Texas,998,"1,073","1,180","1,376","1,579","2,320","2,471","3,104"
Utah,127,145,196,289,444,909,780,893
Vermont,161,173,209,237,264,329,351,381
Virginia,427,474,615,710,814,"1,139","1,221","1,562"
Washington,738,810,961,"1,095","1,235","1,773","1,784","2,202"
West Virginia,43,69,89,89,93,110,137,155
Wisconsin,280,283,306,345,381,475,470,577
Wyoming,32,37,45,57,61,70,86,103
