Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
12833,NJ,Medium- and Heavy-Duty Vehicle Electrification Grants,"The New Jersey Department of Environmental Protection (NJDEP) offers
incentives to cover the incremental cost of replacing diesel vehicles
with all-electric vehicles. Incentives are available for the 100% of the
incremental cost of the vehicle, including associated charging
infrastructure. Eligible vehicles include shuttle buses, school buses,
garbage trucks, and transit buses. Privately-owned school buses under
contract with a public-school district are also eligible. Priority will
be given to projects in [overburdened
communities](https://www.nj.gov/dep/ej/communities.html). This program
is funded by [Regional Greenhouse Gas
Initiative](https://afdc.energy.gov/laws/12229) (RGGI) proceeds. For
more information, including eligibility requirements, see the NJDEP
[RGGI Funding for Transportation
Electrification](https://nj.gov/dep/stopthesoot/sts-retrofits.htm)
website.
",,,false,8,State Incentives,"",2022-03-07 21:45:19 UTC,,2024-12-05 00:00:00 UTC,,"",ELEC,GNT,"",FLEET|GOV|TRANS,"",archived,2024-12-05
12494,MI,Medium- and Heavy-Duty Grant Program,"The Michigan Department of Environment, Great Lakes, and Energy (EGLE)
offers grants for eligible on- and off-road vehicles and equipment.
Projects must reduce nitrogen oxide emissions, improve air quality, and
increase adoption of zero emission or alternative fuel vehicles and
equipment. Eligible vehicles and equipment include local freight
vehicles (medium- and heavy-duty trucks and port drayage trucks),
shuttle and transit buses, port cargo handling equipment and forklifts,
airport ground support equipment, and more. The program is funded by
Michigan's portion of the [Volkswagen Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, including available requests for proposals, see
the EGLE [Fuel Transformation
Program](https://www.michigan.gov/egle/0,9429,7-135-70153_70155_3585_57765_78496-397560--,00.html)
website.
",,,false,26,State Incentives,"",2020-11-12 15:52:42 UTC,,2024-12-04 00:00:00 UTC,,"",ELEC|HY|PHEV,GNT,"",FLEET|GOV,"",archived,2024-12-04
13135,PA,Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Grant,"The Pennsylvania Department of Environmental Protection (DEP) offers
grants for the replacement of Class 4-8 local freight trucks with new
zero-emission trucks through the MHD ZEV Fleet Pilot Grant Program.
Eligible zero-emission technologies include all-electric and hydrogen
fuel cell electric vehicles. Grants are available in the following
amounts:

::: {data-align=""center""}
  Applicant Type                         Maximum Grant Funding Amount
  ------------------------------------- ------------------------------
  Non-government entity                   Up to 75% of project costs
  Government entity                       Up to 90% of project costs
  Financially distressed municipality    Up to 100% of project costs
:::

Eligible applicants include businesses, non-profits, government
entities, tribal entities, planning organizations, and air quality and
transportation organizations. Priority will be given to projects located
in environmental justice communities. This program is funded by
Pennsylvania's portion of the [Volkswagen Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, including program guidelines, see the DEP [Driving
Pennsylvania Forward](http://www.depgis.state.pa.us/DrivingPAForward/)
website.
",,,false,35,State Incentives,"",2024-12-04 16:19:31 UTC,,2024-12-04 00:00:00 UTC,,"",ELEC|HY,GNT,"",FLEET|GOV|OTHER|TRANS|TRIBAL,"",archived,2024-12-04
14326,DC,Electric Vehicle (EV) Charger Deployment and Management Plan,"Beginning in 2026, the District of Columbia Department of Energy and
Environment (DOEE) must publish an EV infrastructure deployment and
management plan every three years. The plan must include:

-   Total EV registrations in the District of Columbia;
-   Progress toward EV charging infrastructure deployment equal to at
    least 5% of a ten-year forecast of EV registrations;
-   Characterization of the speed and capacity of available EV charging
    infrastructure;
-   Assessment of electric grid capacity and electric utility timelines
    to support EV charger deployment;
-   Identification of income-based EV equity focus areas; and
-   Legislation and regulatory recommendations.

By January 2026, DOEE must also establish an EV charging infrastructure
incentive program.

(Reference [Council Bill 250106, 2024](https://code.dccouncil.gov/dclaws) and [District of Columbia Code 8-151.09f](https://code.dccouncil.us/dc/council/code/))",2024-11-22 00:00:00 UTC,,false,36,Laws and Regulations,"",2025-01-14 14:41:26 UTC,,,,"",ELEC|PHEV,"",CCEINIT,GOV,https://code.dccouncil.gov/dclaws|https://code.dccouncil.us/dc/council/code/,enacted,2024-11-22
14325,DC,Electric Vehicle (EV) Charger Deployment Authorization,"The District of Columbia Department of Transportation (DDOT) and
Department of Energy and Environment (DOEE) are authorized to use
federal infrastructure funding to distribute grants for EV charging
infrastructure expansion. Additional data sharing and contracting
requirements apply for permitholders installing more than five EV
charging ports.

(Reference [Council Bill 250106, 2024](https://code.dccouncil.gov/dclaws) and [District of Columbia Code 50-921.04](https://code.dccouncil.us/dc/council/code/))",2024-11-22 00:00:00 UTC,,false,35,Laws and Regulations,"",2025-01-14 14:31:08 UTC,,,,"",ELEC|PHEV,"",OTHER,GOV,https://code.dccouncil.gov/dclaws|https://code.dccouncil.us/dc/council/code/,enacted,2024-11-22
14329,DC,Electric Vehicle (EV) Charger Installation Policies for Retail Service Stations,"New or substantially modified retail service stations projected to sell
more than one million gallons of gasoline per year must install at least
two direct current (DC) fast charging ports with a power output of at
least 150 kilowatts for each gasoline pump.

(Reference [Council Bill 250106, 2024](https://code.dccouncil.gov/dclaws) and [District of Columbia Code 36-302.02](https://code.dccouncil.us/dc/council/code/))",2024-11-22 00:00:00 UTC,,false,39,Laws and Regulations,"",2025-01-14 14:57:28 UTC,,,,"",ELEC|PHEV,"",BUILD,STATION,https://code.dccouncil.gov/dclaws|https://code.dccouncil.us/dc/council/code/,enacted,2024-11-22
14328,DC,Electric Vehicle (EV) Charger Policies for Condominiums,"Condominium associations may not prohibit or restrict the installation
or use of EV chargers in a homeowner's designated parking space.
Condominium associations may put reasonable restrictions on EV chargers,
but the policies may not significantly increase the cost of the EV
charger or prohibit installation. Homeowners must comply with applicable
health and safety codes and architectural standards and engage a
licensed installation contractor. The homeowner is responsible for the
cost of the installation, operation, maintenance, repair, removal, or
replacement of the charger in their parking space, as well as any
resulting damage to the EV charger or surrounding area. Additional
requirements may apply.

(Reference [Council Bill 250106, 2024](https://code.dccouncil.gov/dclaws) and [District of Columbia Code 6-1451.01-03a](https://code.dccouncil.us/dc/council/code/))",2024-11-22 00:00:00 UTC,,false,38,Laws and Regulations,"",2025-01-14 14:54:59 UTC,,,,"",ELEC|PHEV,"",RTC,MUD|IND,https://code.dccouncil.gov/dclaws|https://code.dccouncil.us/dc/council/code/,enacted,2024-11-22
14327,DC,Electric Vehicle (EV) Charging Building Standards,"New construction of, or substantial improvements to, single family homes
with off-street parking must include at least one EV-ready parking space
capable of providing Level 1 charging. An EV-installed parking space is
defined as a parking space with an installed EV charger, and an EV-ready
parking space is defined as a parking space with sufficient electrical
panel capacity and pre-wiring to support future EV chargers.

Beginning January 1, 2027, new construction of, or substantial
improvements to, commercial buildings or multi-family housing (MFH) with
six or more parking spaces must install EV chargers and pre-wiring
capable of supporting EV chargers at the following number of parking
spaces:

  Building Type   Required Share of EV-Installed Parking Spaces   Required Share of EV-Ready Parking Spaces
  --------------- ----------------------------------------------- -------------------------------------------
  Commercial      15%                                             25%
  MFH             No requirement                                  25%

Additional requirements for MFH apply beginning in 2031 and 2034.

(Reference [Council Bill 250106, 2024](https://code.dccouncil.gov/dclaws) and [District of Columbia Code 6-1451.01-03a](https://code.dccouncil.us/dc/council/code/))",2024-11-22 00:00:00 UTC,,false,37,Laws and Regulations,"",2025-01-14 14:49:15 UTC,,,,"",ELEC|PHEV,"",BUILD,FLEET|MUD,https://code.dccouncil.gov/dclaws|https://code.dccouncil.us/dc/council/code/,enacted,2024-11-22
12858,CA,Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Financing Program ,"The California Pollution Control Financing Authority (CPCFA) must
develop and implement a purchasing assistance program for MHD ZEV
fleets. CPCFA must consult with stakeholders to design a program that
provides financial support and technical assistance to fleet managers
deploying MHD ZEVs. CPCFA must designate high-priority fleets,
considering implications for climate change, pollution, environmental
justice, and post-COVID economy recovery. A minimum of 75% of financing
products must be directed towards operators of MHD ZEV fleets whose
fleets directly impact, or operate in, underserved communities. CPCFA
must establish the program by January 1, 2023, and provide annual
reports on program outcomes to the California Air Resources Board.

(Reference [California Health and Safety Code 44272](https://leginfo.legislature.ca.gov/faces/home.xhtml))",2021-10-07 00:00:00 UTC,,false,330,State Incentives,"",2022-04-11 15:34:40 UTC,,2024-10-10 00:00:00 UTC,,"",ELEC|HY|PHEV,GNT|LOANS|OTHER,"",FLEET,https://leginfo.legislature.ca.gov/faces/home.xhtml|https://leginfo.legislature.ca.gov/faces/home.xhtml,archived,2024-10-10
12667,AR,Electric Vehicle (EV) Charging Station Grants,"The Arkansas Department of Environmental Quality (ADEQ) offers rebates
to government, private, and non-profit entities for the construction and
installation costs of Level 2 EV charging stations. Funding is available
in the following amounts:

Access

Applicant Type

Maximum Rebate (One Port)

Maximum Rebate (Two or More Ports)

Public

Government

\$6,850

\$9,300

Public

Non-Government

\$5,325

\$7,225

Private

Workplace

\$1,875

\$3,375

Private

Multi-Unit Dwelling

\$1,875

\$3,375

Rebates are awarded on a first-come, first served basis. The program is
funded by Arkansas's portion of the [Volkswagen Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement)
and the Arkansas EV Infrastructure Fund. For more information, including
eligibility and how to apply, see the ADEQ [Level 2 Rebate
Program](https://www.adeq.state.ar.us/energy/opportunities/evse/)
website.

(Reference [House Bill 1061, 2024](https://www.arkleg.state.ar.us/) and [Arkansas Code 15-10-101 and 19-5-1273](http://www.lexisnexis.com/hottopics/arcode/Default.asp))",,2023-07-01 00:00:00 UTC,false,150,State Incentives,"",2021-09-13 18:03:00 UTC,,2024-10-07 00:00:00 UTC,,"",ELEC|PHEV,GNT,"",STATION|FLEET|GOV|MUD|IND,https://www.arkleg.state.ar.us/|http://www.lexisnexis.com/hottopics/arcode/Default.asp|https://www.arkleg.state.ar.us/,archived,2024-10-07
13535,WA,Low-Income Electric Vehicle (EV) Rebates  ,"The Washington EV Instant Rebate Program offers rebates to residents for
the purchase or lease of a qualified new or pre-owned EV. New EVs are
eligible for a rebate of up to \$9,000, and pre-owned EVs are eligible
for a rebate of up to \$2,500. Applicants may receive one rebate, and no
more than three rebates are allowed per residential address. Only
applicants who have a household income at or below 300% of the current
federal poverty level or who are enrolled in an eligible [income
qualified program](https://waevinstantrebates.org/eligibility/) are
eligible for the rebate. For more information, including program
eligibility and requirements, see the Washington State Department of
Commerce [EV Instant Rebates](https://waevinstantrebates.org) website.
",2024-10-01 00:00:00 UTC,,false,56,State Incentives,"",2024-11-06 17:18:28 UTC,,,,"",ELEC,RBATE,"",IND,"",enacted,2024-10-01
6195,NC,"Alternative Fuel Vehicle (AFV), Idle Reduction Technologies, and Diesel Retrofits Funding","The Clean Fuel Advanced Technology (CFAT) project provides grant funding
to reduce transportation-related emissions for [areas in
nonattainment](https://www3.epa.gov/airquality/greenbook/ancl.html) with
the National Ambient Air Quality Standards. A project that is adjacent
to these areas may also be eligible for funding if the project will
reduce emissions in eligible counties. For more information, including
current requests for proposals, see the
[CFAT](https://nccleantech.ncsu.edu/our-work/center-projects/cfat-project-request-for-proposals-information/)
website.
",,,false,8,State Incentives,"",2018-10-22 20:10:19 UTC,,2024-09-30 00:00:00 UTC,,"",BIOD|ETH|ELEC|HEV|HY|IR|NG|PHEV|LPG,GNT,"",STATION|MAN|FLEET,"",archived,2024-09-30
14323,CA,Warehouse Electric Vehicle (EV) Charger Make-Ready Requirement,"New warehouses must designate at least 50% of all passenger vehicle
parking spaces as EV make-ready and at least 10% of all passenger
vehicle parking spaces must be installed with EV chargers. Additionally,
new warehouses must be capable of charging medium- and heavy-duty EVs.

(Reference [Assembly Bill 98, 2024](http://www.oal.ca.gov/))",2024-09-29 00:00:00 UTC,,false,69,Laws and Regulations,"",2025-01-14 14:10:58 UTC,,,,"",ELEC|PHEV,"",BUILD,FLEET,http://www.oal.ca.gov/,enacted,2024-09-29
13531,CA,Bidirectional-Capable Electric Vehicles (EV) Requirement ,"The State Energy Resources Conservation and Development Commission may
require any EV to have bidirectional charging capabilities if there is a
sufficiently compelling beneficial use case to the EV operator and
electrical grid.

(Reference [Senate Bill 59, 2024](http://www.oal.ca.gov/))",2024-09-27 00:00:00 UTC,,false,185,Laws and Regulations,"",2024-11-04 16:54:06 UTC,,,,"",ELEC,"",OTHER,GOV,http://www.oal.ca.gov/,enacted,2024-09-27
13529,CA,Electric Vehicle (EV) Charger Inspection and Compliance ,"County sealers may inspect the functionality of EV chargers operated by
public agencies within their jurisdiction. If an EV charger is
inoperable, the sealer must mark the EV charger with a tag that says
""out of order"". EV chargers must be repaired or corrected within 30 days
and are subject to retesting and verification by the county sealer. EV
chargers owned by electric utilities are also subject to inspection.

An annual registration fee may be applied for the cost of inspecting and
testing an EV charger. Additional requirements and exceptions may apply.

(Reference [Assembly Bill 2037, 2024](https://leginfo.legislature.ca.gov/faces/home.xhtml))",2024-09-27 00:00:00 UTC,,false,68,Laws and Regulations,"",2024-11-04 16:39:45 UTC,,,,"",ELEC|PHEV,"",OTHER,STATION|FLEET,https://leginfo.legislature.ca.gov/faces/home.xhtml,enacted,2024-09-27
11067,CA,Electric Vehicle (EV) Charger Open Access Requirements,"EV charger service providers may not charge a subscription fee or
require membership for use of their public chargers. In addition,
providers must disclose the actual charges for using public EV chargers
at the point of sale; allow contactless payment and pay-by-phone payment
methods; install the Open Charge Point interoperability billing standard
on each EV charger; and disclose the EV charger geographic location,
schedule of fees, accepted methods of payment, and network roaming
charges to the National Renewable Energy Laboratory. Direct current (DC)
fast chargers must also include Plug and Charge payment capabilities.

The State Energy Resources Conservation and Development Commission is
required to apply any network roaming standards it adopts to EV charging
network providers that manage at least 100 publicly available EV
chargers in California. Additional terms and conditions apply. For more
information, see the California Air Resources Board [EV Charger
Standards](https://ww2.arb.ca.gov/our-work/programs/electric-vehicle-supply-equipment-evse-standards)
website.

(Reference [California Health and Safety Code 44268 and 44268.2](http://www.oal.ca.gov/) and [Assembly Bill 2697, 2024](http://www.oal.ca.gov/))",2013-09-28 00:00:00 UTC,2024-09-27 00:00:00 UTC,false,175,Laws and Regulations,"",2023-11-13 04:40:31 UTC,,,,"",ELEC|PHEV,"",OTHER,STATION|FLEET,http://www.oal.ca.gov/|http://www.oal.ca.gov/|https://leginfo.legislature.ca.gov/faces/home.xhtml,amended,2024-09-27
13532,CA,Alternative Fuel Vehicle (AFV) Manufacturing Incentive Authorization ,"Cities and counties may establish a capital investment incentive program
for qualified manufacturing facilities that manufacture fuels or
components used in AFVs and related infrastructure. Each county or city
that elects to establish a capital investment incentive program must
notify the Governor's Office of Business and Economic Development.
Additional requirements apply.

(Reference [Assembly Bill 2922, 2024](http://www.oal.ca.gov/))",2024-09-25 00:00:00 UTC,,false,129,Laws and Regulations,"",2024-11-04 20:54:20 UTC,,,,"",BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG|RD,"",OTHER,GOV,http://www.oal.ca.gov/,enacted,2024-09-25
13530,CA,Electric Vehicle (EV) Charger Right-of-Way Requirements ,"Local agencies must develop a checklist for completing a permit
application to install an EV charger in the public right-of-way. Cities
with a population of 250,000 or more residents must develop a checklist
by January 1, 2027, and cities with a population of fewer than 250,000
residents must develop a checklist by January 1, 2029. Additional
requirements apply.

(Reference [Assembly Bill 2427, 2024](http://www.oal.ca.gov/))",2024-09-25 00:00:00 UTC,,false,173,Laws and Regulations,"",2024-11-04 16:47:33 UTC,,,,"",ELEC|PHEV,"",OTHER,GOV,http://www.oal.ca.gov/,enacted,2024-09-25
